County,HighSchoolGrad,BachelorsDegree,UnemploymentRate,PercentUrban,PerCapitaIncome,PercentPoverty,CountyPopulation, PopulationDensityPerSqMile,Region,RaceWhite,RaceNotWhite
Duval,67.1,8.9,7.7,32.96,36418,25.5,11212,6.57,South Texas,96.62,3.38
Eastland,82.8,14.6,4.3,39.65,71142,18.7,18322,20.06,West Texas,94.58,5.42
Ector,75.1,15.2,4.1,90.54,47271,12.9,162124,152.76,West Texas,90.52,9.48
Edwards,75.1,24,3.2,0,35182,22.1,1928,0.95,South Texas,95.34,4.66
El Paso,76.5,21.7,4.6,97.83,35856,20.5,840758,790.61,West Texas,91.98,8.02
Ellis,84.6,21.9,3.4,68.02,44313,8.8,179436,159.93,North Texas,85.53,14.47
Erath,83.9,28.2,3.4,53.68,39572,18.1,42446,34.98,North Texas,94.47,5.53
Falls,75.7,11.9,4.2,32.64,34619,21.7,17335,23.34,Central Texas,71.99,28.01
Fannin,83,15.6,3.3,29.47,37605,13.8,35286,38.07,North Texas,88.94,11.06
Fayette,81.7,17.1,3.2,32.86,53564,13.3,25349,25.85,Central Texas,90.52,9.48
Fisher,82.8,18.4,3.5,0,46444,15.5,3839,4.42,West Texas,91.8,8.2
Floyd,73.2,16.4,5.5,46.68,37367,21,5837,6.5,West Texas,91.94,8.06
Foard,80.8,16,3.4,0,42954,18,1200,1.9,North Texas,92.23,7.77
Fort Bend,89.2,44.6,4.6,94.46,57540,7.9,787858,679.5,Upper Gulf Coast,55.66,44.34
Franklin,85.5,19,4.6,30.87,39730,15.2,10766,37.29,East Texas,92.24,7.76
Freestone,81.1,11.5,6.3,33.52,37066,13.7,19808,22.58,Central Texas,79.94,20.06
Frio,62.8,7.3,3.8,77.82,27545,27.5,19816,15.19,South Texas,91.58,8.42
Gaines,60.4,10.5,3,36.96,36009,15.4,20901,11.67,West Texas,94.97,5.03
Galveston,87.6,28.9,5.2,93.85,51785,12.1,337890,769.93,Upper Gulf Coast,80.14,19.86
Garza,57,8.8,3.3,77.67,30072,24.6,6578,7.23,West Texas,89.83,10.17
Gillespie,89.3,34.1,2.6,46.35,60561,9.6,26804,23.47,South Texas,96.66,3.34
Glasscock,75.2,25.2,2.6,0,102145,9.7,1388,1.36,West Texas,97.11,2.89
Goliad,88.8,16,4.9,0,43858,14.4,7584,8.46,South Texas,92.03,7.97
Gonzales,72.5,13.7,3.5,34.72,43342,16.9,20826,18.57,South Texas,88.9,11.1
Gray,80.3,13.6,5.3,80.61,44002,16.7,21895,24.34,Panhandle,90.23,9.77
Grayson,87.6,20.2,3.5,56.85,42195,12.3,133991,129.58,North Texas,87.8,12.2
Gregg,83.7,20.7,5.1,86.64,45401,15.1,123707,445.4,East Texas,74.57,25.43
Grimes,77.8,13.2,5.3,31.1,35450,17.5,28360,33.78,Central Texas,80.91,19.09
Guadalupe,88.2,26.5,3.3,73.84,44809,8.5,163694,184.92,South Texas,85.8,14.2
Hale,75.4,15.8,5.1,76.9,32263,18.4,33830,36.1,West Texas,90.38,9.62
Hall,72.1,12.5,6.2,0,30180,24.1,3028,3.8,Panhandle,87.37,12.63
Hamilton,82.2,21.5,3.9,35.62,60744,14.7,8484,10.19,Central Texas,95.1,4.9
Hansford,74,20.8,2.5,59.67,62998,11.6,5463,6.1,Panhandle,95.85,4.15
Hardeman,75.6,13.5,3.9,0,38212,17.4,3922,5.95,North Texas,90.24,9.76
Hardin,86.9,16.1,6.1,48.45,45982,12.4,57207,61.35,East Texas,91.77,8.23
Harris,80.2,30.1,5,98.79,56474,16.5,4698619,2402.41,Upper Gulf Coast,69.83,30.17
Harrison,82.8,17.7,5.2,43.95,41917,14.7,66726,72.93,East Texas,75.14,24.86
Hartley,82.1,20.1,2,42.74,62463,9.5,5619,4.15,Panhandle,90.55,9.45
Haskell,68.5,13.5,4.7,52.38,34530,23.1,5813,6.53,West Texas,91.19,8.81
Hays,88.9,36.3,3.1,68.29,43719,13.2,222631,231.73,Central Texas,90.26,9.74
Hemphill,78.7,23.2,2.5,73.05,58484,9.6,3825,4.2,Panhandle,95.18,4.82
Henderson,82.9,17.5,4.2,39.89,39627,19.4,82299,89.88,East Texas,89.89,10.11
Hidalgo,63.3,17.4,7.4,94.86,26410,30,865939,493.21,South Texas,97.02,2.98
Hill,80.3,16,3.9,23.73,39205,12.6,36354,36.59,Central Texas,89.57,10.43
Hockley,78.2,14.7,3.7,60.15,38975,19.5,22980,25.25,West Texas,92.55,7.45
Hood,88.2,25.8,4.2,67.15,50741,10.2,60537,121.68,North Texas,95.75,4.25
Hopkins,82.4,17.1,3.6,40.37,39120,14.6,36810,45.83,East Texas,88.79,11.21
Houston,82.4,14.5,4.2,26.51,38081,26.1,23169,19.28,East Texas,71.65,28.35
Howard,79.4,12.6,4.3,79.94,40255,20.6,36459,38.87,West Texas,87.84,12.16
Hudspeth,52.2,7.5,6,0,32472,17.8,4795,0.76,West Texas,91.72,8.28
Hunt,82.7,17.3,3.9,43.37,38029,13.6,96493,102.5,North Texas,86.7,13.3
Hutchinson,84.9,15.3,6,77.44,41550,13,21198,24.96,Panhandle,91.7,8.3
Irion,91.7,15.7,3,0,68327,8.1,1522,1.52,West Texas,95.58,4.42
Jack,78.9,10.8,3.7,46.78,44061,17.7,8843,9.93,North Texas,92.91,7.09
Jackson,84.1,17.3,4,38.18,41770,12.9,14874,16.97,South Texas,89.54,10.46
Jasper,86.8,10.6,7.4,21.81,40803,19.2,35872,38.04,East Texas,80.83,19.17
Jeff Davis,80.6,38.4,3.1,0,42947,13.1,2252,1.03,West Texas,94.08,5.92
Jefferson,83.3,18.8,7.3,91.6,44065,18.7,255001,287.89,East Texas,58.98,41.02
